book_names,author_pages,no_of_pages,no_of_ratings,avg_rating,my_rating,date_added,date_read,image_sources,image_name,name
The Witness for the Prosecution and Other Stories,https://www.goodreads.com/author/show/123715.Agatha_Christie,288.0,12686,3.88,3.0,"November 13, 2021","Nov 15, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312020361l/909870._SY75_.jpg,www/cover_328.png,Agatha Christie
"The Labors of Hercules (Hercule Poirot, #27)",https://www.goodreads.com/author/show/123715.Agatha_Christie,246.0,31759,3.76,3.0,"November 11, 2021","Nov 11, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309283809l/538608._SY75_.jpg,www/cover_329.png,Agatha Christie
"The Hollow (Hercule Poirot, #26)",https://www.goodreads.com/author/show/123715.Agatha_Christie,384.0,43769,3.8,3.0,"October 28, 2021","Nov 02, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308815448l/16303._SY75_.jpg,www/cover_330.png,Agatha Christie
"One, Two, Buckle My Shoe (Hercule Poirot, #23)",https://www.goodreads.com/author/show/123715.Agatha_Christie,294,43352,3.78,4.0,"October 26, 2021","Oct 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396227770l/433091._SY75_.jpg,www/cover_331.png,Agatha Christie
"Sad Cypress (Hercule Poirot, #22)",https://www.goodreads.com/author/show/123715.Agatha_Christie,336,47189,3.94,2.0,"October 12, 2021","Oct 26, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701946828l/433035._SY75_.jpg,www/cover_332.png,Agatha Christie
The Regatta Mystery and Other Stories,https://www.goodreads.com/author/show/123715.Agatha_Christie,214,11796,3.85,3.0,"October 08, 2021","Oct 11, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401988178l/16368._SY75_.jpg,www/cover_333.png,Agatha Christie
"Appointment with Death (Hercule Poirot, #19)",https://www.goodreads.com/author/show/123715.Agatha_Christie,303,69259,3.87,3.0,"October 06, 2021","Oct 06, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1752997872l/16363._SY75_.jpg,www/cover_334.png,Agatha Christie
"Murder in the Mews (Hercule Poirot, #16)",https://www.goodreads.com/author/show/123715.Agatha_Christie,378,28307,3.77,3.0,"October 02, 2021",Oct 2021,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1725866286l/982149._SY75_.jpg,www/cover_335.png,Agatha Christie
"Murder in Mesopotamia (Hercule Poirot, #14)",https://www.goodreads.com/author/show/123715.Agatha_Christie,264,70301,3.94,3.0,"September 25, 2021","Sep 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308808558l/16360._SY75_.jpg,www/cover_336.png,Agatha Christie
The Fall of the King,https://www.goodreads.com/author/show/1545124.Johannes_V_Jensen,274,2583,3.72,3.0,"September 13, 2021","Sep 25, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327997087l/11998522._SX50_.jpg,www/cover_337.png,Johannes V. Jensen
Genç Werther'in Acıları,https://www.goodreads.com/author/show/285217.Johann_Wolfgang_von_Goethe,132,155221,3.69,4.0,"September 23, 2021","Sep 23, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475649454l/15823397._SY75_.jpg,www/cover_338.png,Johann Wolfgang von Goethe
Gulliver'in Gezileri,https://www.goodreads.com/author/show/1831.Jonathan_Swift,328,298938,3.59,5.0,"September 12, 2021","Sep 19, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445600136l/9684581._SY75_.jpg,www/cover_339.png,Jonathan Swift
Zincire Vurulmuş Prometheus,https://www.goodreads.com/author/show/990.Aeschylus,96,21597,3.94,3.0,"September 12, 2021","Sep 11, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475648780l/18740233._SY75_.jpg,www/cover_340.png,Aeschylus
Siyah İnci,https://www.goodreads.com/author/show/2530.Anna_Sewell,248,298459,4.0,4.0,"September 09, 2021","Sep 09, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464115268l/30284575._SY75_.jpg,www/cover_341.png,Anna Sewell
"The Under Dog and Other Stories (Hercule Poirot, #31)",https://www.goodreads.com/author/show/123715.Agatha_Christie,192,8132,3.72,4.0,"September 07, 2021","Sep 08, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306177265l/565273._SY75_.jpg,www/cover_342.png,Agatha Christie
"Double Sin and Other Stories (Hercule Poirot, #38)",https://www.goodreads.com/author/show/123715.Agatha_Christie,288,7080,3.75,2.0,"August 29, 2021","Aug 31, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316137106l/140354._SY75_.jpg,www/cover_343.png,Agatha Christie
Hikayeler,https://www.goodreads.com/author/show/2863794.Orhan_Veli_Kan_k,56,1033,3.99,3.0,"August 26, 2021","Aug 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630008005l/58863440._SX50_.jpg,www/cover_344.png,Orhan Veli Kanık
Üç Silahşor,https://www.goodreads.com/author/show/4785.Alexandre_Dumas,755,346855,4.1,4.0,"August 12, 2021","Aug 26, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388004802l/15840018._SY75_.jpg,www/cover_345.png,Alexandre Dumas
Ağaçlar,https://www.goodreads.com/author/show/1113469.Hermann_Hesse,104,1820,3.94,4.0,"August 07, 2021","Aug 08, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586341411l/43340543._SX50_.jpg,www/cover_346.png,Hermann Hesse
Hard-Boiled Wonderland and the End of the World,https://www.goodreads.com/author/show/3354.Haruki_Murakami,400,152565,4.11,2.0,"January 08, 2018","Aug 07, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445872480l/17181673._SY75_.jpg,www/cover_347.png,Haruki Murakami
"Lord Edgware Dies (Hercule Poirot, #9)",https://www.goodreads.com/author/show/123715.Agatha_Christie,219,62069,3.95,4.0,"July 26, 2021","Jul 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375949065l/215492._SY75_.jpg,www/cover_348.png,Agatha Christie
"Black Coffee: A Mystery Play in Three Acts (Hercule Poirot, #7)",https://www.goodreads.com/author/show/123715.Agatha_Christie,142,3643,3.67,3.0,"July 24, 2021","Jul 25, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348933599l/645754._SY75_.jpg,www/cover_349.png,Agatha Christie
"Poirot Investigates (Hercule Poirot, #3)",https://www.goodreads.com/author/show/123715.Agatha_Christie,265,74868,3.89,4.0,"July 22, 2021","Jul 23, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309305569l/477597._SY75_.jpg,www/cover_350.png,Agatha Christie
"Dumb Witness (Hercule Poirot, #17)",https://www.goodreads.com/author/show/123715.Agatha_Christie,317,48308,3.92,4.0,"July 19, 2021","Jul 20, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295672288l/16344._SY75_.jpg,www/cover_351.png,Agatha Christie
Uyuyamadığım / Düş Kovalayan,https://www.goodreads.com/author/show/3402958.Atilla_Atalay,318,91,4.2,3.0,"July 02, 2021","Jul 09, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306705724l/11490104._SX50_.jpg,www/cover_352.png,Atilla Atalay
Exhalation,https://www.goodreads.com/author/show/130698.Ted_Chiang,368,112874,4.27,3.0,"June 26, 2021","Jun 26, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534388394l/41160292._SX50_.jpg,www/cover_353.png,Ted Chiang
Velhasıl,https://www.goodreads.com/author/show/7164791.Ercan_Kesal,179,203,3.73,4.0,"June 19, 2021","Jun 19, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570470992l/52251877._SX50_SY75_.jpg,www/cover_354.png,Ercan Kesal
Cin Aynası,https://www.goodreads.com/author/show/7164791.Ercan_Kesal,292,328,3.97,4.0,"February 02, 2018","Jun 13, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472112809l/31677914._SY75_.jpg,www/cover_355.png,Ercan Kesal
"Peril at End House (Hercule Poirot, #8)",https://www.goodreads.com/author/show/123715.Agatha_Christie,287,83238,4.02,3.0,"May 28, 2021","May 29, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327938128l/16424._SY75_.jpg,www/cover_356.png,Agatha Christie
Surrender: A Literary Dystopian Thriller – Alfaguara Prize Winner Echoing The Handmaid's Tale,https://www.goodreads.com/author/show/40561.Ray_Loriga,224,3458,3.78,2.0,"May 18, 2021","May 26, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553824275l/43261159._SY75_.jpg,www/cover_357.png,Ray Loriga
"Hercule Poirot's Christmas (Hercule Poirot, #20)",https://www.goodreads.com/author/show/123715.Agatha_Christie,335,108990,3.98,4.0,"May 22, 2021","May 24, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308808460l/16349._SY75_.jpg,www/cover_358.png,Agatha Christie
"Death on the Nile (Hercule Poirot, #18)",https://www.goodreads.com/author/show/123715.Agatha_Christie,352,306483,4.12,4.0,"May 11, 2021","May 19, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486837149l/131359._SY75_.jpg,www/cover_359.png,Agatha Christie
"An Absolutely Remarkable Thing (The Carls, #1)",https://www.goodreads.com/author/show/7023543.Hank_Green,343,129958,4.03,4.0,"May 02, 2021","May 08, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520026196l/24233708._SY75_.jpg,www/cover_360.png,Hank Green
Tepedeki Ev,https://www.goodreads.com/author/show/13388.Shirley_Jackson,232,394926,3.81,3.0,"May 01, 2021","May 07, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303921175l/11231879._SY75_.jpg,www/cover_361.png,Shirley Jackson
Biz Hep Şatoda Yaşadık,https://www.goodreads.com/author/show/13388.Shirley_Jackson,181,295804,3.91,4.0,"April 27, 2021","Apr 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494866874l/35144447._SX50_.jpg,www/cover_362.png,Shirley Jackson
Hamnet,https://www.goodreads.com/author/show/91236.Maggie_O_Farrell,372,372062,4.2,4.0,"April 18, 2021","Apr 27, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574943819l/43890641._SY75_.jpg,www/cover_363.png,Maggie O'Farrell
Belki Bir Gün Uçarız,https://www.goodreads.com/author/show/8552668.Aylin_Balboa,148,1599,3.93,3.0,"April 22, 2021","Apr 24, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410606060l/23207127._SX50_.jpg,www/cover_364.png,Aylin Balboa
Baharda Yine Geliriz,https://www.goodreads.com/author/show/3351237.Bar_B_ak_,108,1639,3.67,3.0,"April 19, 2021","Apr 20, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478009850l/7686382._SY75_.jpg,www/cover_365.png,Barış Bıçakçı
Herkes Herkesle Dostmuş Gibi,https://www.goodreads.com/author/show/3351237.Bar_B_ak_,112,1497,3.69,2.0,"April 18, 2021","Apr 18, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474897622l/24953057._SY75_.jpg,www/cover_366.png,Barış Bıçakçı
Bozkırda Altmışaltı,https://www.goodreads.com/author/show/6971541.Mustafa_iftci,160,265,4.05,3.0,"April 09, 2021","Apr 12, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439335490l/22401982._SY75_.jpg,www/cover_367.png,Mustafa Çiftci
Lucky Per,https://www.goodreads.com/author/show/539149.Henrik_Pontoppidan,664,1784,4.4,4.0,"March 30, 2021","Apr 11, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532991956l/40985727._SY75_.jpg,www/cover_368.png,Henrik Pontoppidan
Adem'in Kekliği ve Chopin,https://www.goodreads.com/author/show/6971541.Mustafa_iftci,139,99,4.07,4.0,"April 01, 2021","Apr 05, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474350843l/32121348._SY75_.jpg,www/cover_369.png,Mustafa Çiftci
Ah Mercimeğim,https://www.goodreads.com/author/show/6971541.Mustafa_iftci,107,287,4.13,3.0,"March 29, 2021","Mar 31, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485479376l/34019309._SY75_.jpg,www/cover_370.png,Mustafa Çiftci
Bize İki Çay Söyle,https://www.goodreads.com/author/show/13544565.Elif_Key,159,310,3.65,3.0,"March 26, 2021","Mar 27, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424930357l/25022500._SY75_.jpg,www/cover_371.png,Elif Key
"Mr. Mercedes (Bill Hodges Trilogy, #1)",https://www.goodreads.com/author/show/3389.Stephen_King,550,375962,4.04,4.0,"March 21, 2021","Mar 24, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578427822l/50353721._SY75_.jpg,www/cover_372.png,Stephen King
Later,https://www.goodreads.com/author/show/3389.Stephen_King,248,150875,3.96,4.0,"March 14, 2021","Mar 16, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596448456l/54798175._SY75_.jpg,www/cover_373.png,Stephen King
Wise Blood,https://www.goodreads.com/author/show/22694.Flannery_O_Connor,256,37782,3.82,2.0,"March 07, 2021","Mar 13, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389629799l/48467._SY75_.jpg,www/cover_374.png,Flannery O'Connor
Morgue Sokağı Cinayeti,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,151,43260,3.8,3.0,"March 05, 2021","Mar 05, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481566970l/22758624._SY75_.jpg,www/cover_375.png,Edgar Allan Poe
Ebekulak,https://www.goodreads.com/author/show/3402958.Atilla_Atalay,228,135,4.38,3.0,"February 28, 2021","Feb 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346932305l/9397230._SY75_.jpg,www/cover_376.png,Atilla Atalay
"Kim Jiyoung, Born 1982",https://www.goodreads.com/author/show/18720847.Cho_Nam_Joo,163,189094,4.16,3.0,"February 26, 2021","Feb 26, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571811477l/52380731._SX50_SY75_.jpg,www/cover_377.png,Cho Nam-Joo
Ağlama Dolabı,https://www.goodreads.com/author/show/3402958.Atilla_Atalay,260,90,4.32,3.0,"February 19, 2021","Feb 22, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346931843l/15992668._SY75_.jpg,www/cover_378.png,Atilla Atalay
Muhtelif Evhamlar Kitabı,https://www.goodreads.com/author/show/14161128._m_r_klim_Demir,105,2829,4.11,4.0,"February 18, 2021","Feb 19, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436726865l/25895863._SY75_.jpg,www/cover_379.png,Ömür İklim Demir
Kara Yarısı,https://www.goodreads.com/author/show/6434621.Mahir_nsal_Eri_,144,1186,4.13,4.0,"February 18, 2021","Feb 18, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553926229l/44659399._SY75_.jpg,www/cover_380.png,Mahir Ünsal Eriş
Sarıyaz,https://www.goodreads.com/author/show/6434621.Mahir_nsal_Eri_,136,2510,4.29,4.0,"February 17, 2021","Feb 18, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553926295l/44659403._SY75_.jpg,www/cover_381.png,Mahir Ünsal Eriş
Sürüklenme,https://www.goodreads.com/author/show/185465.Latife_Tekin,192,271,3.3,3.0,"February 15, 2021","Feb 15, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541100931l/42602788._SY75_.jpg,www/cover_382.png,Latife Tekin
Yalan Satıcısı,https://www.goodreads.com/author/show/5213604.Attil_enkon,119,108,4.19,4.0,"February 09, 2021","Feb 11, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546671875l/43467976._SY75_.jpg,www/cover_383.png,Attilâ Şenkon
Mecnun Kuleleri,https://www.goodreads.com/author/show/3402958.Atilla_Atalay,337,32,4.31,3.0,"January 24, 2021","Feb 07, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346931994l/11972118._SY75_.jpg,www/cover_384.png,Atilla Atalay
Kan ve Gül: Bir Kara Dejavu,https://www.goodreads.com/author/show/2867994.Alper_Can_g_z,216,4062,3.99,4.0,"February 05, 2021","Feb 07, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489740034l/34612133._SX50_.jpg,www/cover_385.png,Alper Canıgüz
Manves City,https://www.goodreads.com/author/show/185465.Latife_Tekin,152,435,3.57,3.0,"January 28, 2021","Feb 02, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541100981l/42602795._SY75_.jpg,www/cover_386.png,Latife Tekin
Sevgili Arsız Ölüm,https://www.goodreads.com/author/show/185465.Latife_Tekin,240,5021,4.08,5.0,"January 23, 2021","Jan 28, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385757160l/1546916._SY75_.jpg,www/cover_387.png,Latife Tekin
Su Adamı,https://www.goodreads.com/author/show/16925529.Alexander_Belyaev,240,6553,4.12,4.0,"January 21, 2021","Jan 22, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494713492l/35128191._SY75_.jpg,www/cover_388.png,Alexander Belyaev
The Children of Húrin,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,315,93405,4.06,3.0,"January 14, 2021","Jan 17, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1762290218l/597790._SY75_.jpg,www/cover_389.png,J.R.R. Tolkien
Sıdıka,https://www.goodreads.com/author/show/3402958.Atilla_Atalay,224,570,4.44,4.0,"January 02, 2021","Jan 16, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1285427673l/9397221._SX50_.jpg,www/cover_390.png,Atilla Atalay
Gece Uçuşu,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,98.0,12571,3.79,2.0,"January 11, 2021","Jan 11, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430214006l/9269065._SY75_.jpg,www/cover_391.png,Antoine de Saint-Exupéry
Beyaz Diş,https://www.goodreads.com/author/show/1240.Jack_London,256.0,207252,4.03,4.0,"January 02, 2021","Jan 08, 2021",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484045598l/33830340._SY75_.jpg,www/cover_392.png,Jack London
Denizin Çağrısı,https://www.goodreads.com/author/show/1240.Jack_London,160.0,1205,3.64,3.0,"December 31, 2020",Jan 2021,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408515751l/23001795._SY75_.jpg,www/cover_393.png,Jack London
Civciv Kutusu,https://www.goodreads.com/author/show/3402958.Atilla_Atalay,221.0,79,4.35,4.0,"December 28, 2020","Dec 30, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450907877l/20755207._SX50_.jpg,www/cover_394.png,Atilla Atalay
Doktor Moreau'nun Adası,https://www.goodreads.com/author/show/880695.H_G_Wells,200.0,135236,3.73,3.0,"December 25, 2020","Dec 27, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454510268l/16034920._SY75_.jpg,www/cover_395.png,H.G. Wells
Yaban Koyununun İzinde,https://www.goodreads.com/author/show/3354.Haruki_Murakami,356.0,141521,3.94,3.0,"September 03, 2016","Dec 25, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315730013l/8447065._SX50_.jpg,www/cover_396.png,Haruki Murakami
Dünyalar Savaşı,https://www.goodreads.com/author/show/880695.H_G_Wells,296.0,349827,3.83,4.0,"December 21, 2020","Dec 23, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511436229l/36646812._SY75_.jpg,www/cover_397.png,H.G. Wells
Körler Ülkesi,https://www.goodreads.com/author/show/880695.H_G_Wells,68.0,9482,3.83,3.0,"December 21, 2020","Dec 21, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490296692l/25018215._SY75_.jpg,www/cover_398.png,H.G. Wells
Zaman Makinesi,https://www.goodreads.com/author/show/880695.H_G_Wells,140.0,565327,3.89,5.0,"December 20, 2020","Dec 20, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491333643l/24144077._SY75_.jpg,www/cover_399.png,H.G. Wells
Gülünç Bir Adamın Düşü,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,32.0,41447,4.03,3.0,"December 15, 2020","Dec 15, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608055259l/56302034._SX50_.jpg,www/cover_400.png,Fyodor Dostoevsky
Yeraltından Notlar,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,153.0,229213,4.17,4.0,"December 13, 2020","Dec 14, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323346633l/13107672._SY75_.jpg,www/cover_401.png,Fyodor Dostoevsky
Libra,https://www.goodreads.com/author/show/233.Don_DeLillo,480.0,21615,4.06,3.0,"December 01, 2020","Dec 12, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327935630l/400._SY75_.jpg,www/cover_402.png,Don DeLillo
Köpek Kalbi,https://www.goodreads.com/author/show/3873.Mikhail_Bulgakov,108.0,72469,4.08,4.0,"December 01, 2020",Dec 2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362500486l/15699822._SY75_.jpg,www/cover_403.png,Mikhail Bulgakov
İnsancıklar,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,184.0,39408,3.77,5.0,"November 29, 2020","Nov 30, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361720433l/17411981._SY75_.jpg,www/cover_404.png,Fyodor Dostoevsky
Dorian Gray'in Portresi,https://www.goodreads.com/author/show/3565.Oscar_Wilde,276.0,1879750,4.13,5.0,"November 27, 2020","Nov 29, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428592045l/13357865._SY75_.jpg,www/cover_405.png,Oscar Wilde
Beyaz Geceler,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,96.0,345091,4.07,4.0,"November 25, 2020","Nov 26, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444890247l/10369600._SY75_.jpg,www/cover_406.png,Fyodor Dostoevsky
Uysal Kız - Düşsel Bir Öykü,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,103.0,29918,3.9,3.0,"November 24, 2020","Nov 24, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462381690l/30109877._SY75_.jpg,www/cover_407.png,Fyodor Dostoevsky
Çocukluğun Soğuk Geceleri,https://www.goodreads.com/author/show/3230107.Tezer_zl_,65.0,8436,3.84,3.0,"November 23, 2020","Nov 23, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583103776l/7314405._SY75_.jpg,www/cover_408.png,Tezer Özlü
Uykusuzluk (Insomnia) ya da Şeytan İşbaşında,https://www.goodreads.com/author/show/147.Henry_Miller,64.0,810,3.6,2.0,"November 22, 2020","Nov 22, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444035264l/26868335._SY75_.jpg,www/cover_409.png,Henry Miller
Kodin,https://www.goodreads.com/author/show/55651.Panait_Istrati,118.0,473,4.1,3.0,"November 21, 2020","Nov 21, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453129172l/20498991._SX50_.jpg,www/cover_410.png,Panait Istrati
Hayat Yollarında,https://www.goodreads.com/author/show/55651.Panait_Istrati,111.0,251,3.96,5.0,"November 19, 2020","Nov 20, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638569663l/15994042._SX50_.jpg,www/cover_411.png,Panait Istrati
Baragan'ın Dikenleri,https://www.goodreads.com/author/show/55651.Panait_Istrati,96.0,996,3.93,4.0,"November 19, 2020","Nov 19, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452288571l/28489569._SX50_.jpg,www/cover_412.png,Panait Istrati
Arkadaş,https://www.goodreads.com/author/show/55651.Panait_Istrati,158.0,689,3.97,4.0,"November 15, 2020","Nov 18, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320951917l/7509306._SX50_.jpg,www/cover_413.png,Panait Istrati
Sünger Avcısı,https://www.goodreads.com/author/show/55651.Panait_Istrati,119.0,266,3.94,4.0,"November 14, 2020","Nov 15, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524072526l/13038288._SX50_.jpg,www/cover_414.png,Panait Istrati
After the Quake,https://www.goodreads.com/author/show/3354.Haruki_Murakami,147.0,58739,3.77,3.0,"November 13, 2020","Nov 13, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388271916l/11299._SY75_.jpg,www/cover_415.png,Haruki Murakami
The Strange Library,https://www.goodreads.com/author/show/3354.Haruki_Murakami,96.0,69850,3.55,3.0,"November 11, 2020","Nov 12, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419549475l/23128304._SX50_.jpg,www/cover_416.png,Haruki Murakami
"Pinball, 1973 (The Rat, #2)",https://www.goodreads.com/author/show/3354.Haruki_Murakami,162.0,22053,3.5,4.0,"November 08, 2020","Nov 11, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441225701l/26214666._SY75_.jpg,www/cover_417.png,Haruki Murakami
"The Big Sleep (Philip Marlowe, #1)",https://www.goodreads.com/author/show/1377.Raymond_Chandler,231.0,168526,3.94,5.0,"November 07, 2020","Nov 10, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371584712l/2052._SY75_.jpg,www/cover_418.png,Raymond Chandler
Havaalanı,https://www.goodreads.com/author/show/14140530.B_lent_all_,,62,4.05,4.0,"October 30, 2020","Nov 07, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547926744l/43599469._SY75_.jpg,www/cover_419.png,Bülent Çallı
Efsunlu Kız Masalları,https://www.goodreads.com/author/show/155517.Italo_Calvino,96.0,41,3.71,3.0,"October 08, 2020","Nov 06, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602187247l/55600656._SY75_.jpg,www/cover_420.png,Italo Calvino
Kesekli Tarla,https://www.goodreads.com/author/show/6518380.Figen_akac_,163,71,3.58,3.0,"November 02, 2020","Nov 05, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593150703l/54272193._SX50_.jpg,www/cover_421.png,Figen Şakacı
Sabitâlem Mahallesi,https://www.goodreads.com/author/show/15492507.Ey_p_Ayg_n_Tay_ir,163,113,4.11,4.0,"October 17, 2020","Oct 31, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580386264l/50719320._SX50_.jpg,www/cover_422.png,Eyüp Aygün Tayşir
Every Day Is for the Thief,https://www.goodreads.com/author/show/1042875.Teju_Cole,128,7906,3.69,3.0,"October 27, 2020","Oct 28, 2020",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345189865l/2320230._SY75_.jpg,www/cover_423.png,Teju Cole
